iter	RMSE
0	114.8604139
1	112.5222259
2	110.1579428
3	108.533759
4	106.2849531
5	104.1858243
6	102.3795063
7	100.3526404
8	98.64008297
9	97.45804849
10	96.50116732
11	94.67880875
12	93.48751076
13	92.15317505
14	90.61711268
15	89.5480379
16	88.6480732
17	87.81630601
18	86.59817278
19	85.19047357
20	84.0395864
21	83.04745025
22	81.90926854
23	80.90597594
24	80.38543527
25	79.2520263
26	77.98745967
27	76.91345343
28	75.82233731
29	74.62115689
30	73.56913779
31	72.32481602
32	71.78907181
33	71.15146949
34	70.29267134
35	69.337486
36	69.12938994
37	67.89294394
38	66.93912913
39	66.39079109
40	65.56012222
41	64.5032965
42	63.87118641
43	62.81431466
44	61.76789225
45	61.1619805
46	60.34614459
47	59.73842164
48	58.96721467
49	58.68482056
50	57.90236249
51	57.01975504
52	56.34397266
53	55.74648577
54	54.94451025
55	54.1402573
56	53.38902387
57	52.84559174
58	52.05841821
59	51.91152758
60	51.35352639
61	50.61379325
62	50.00133051
63	49.47639468
64	48.7263687
65	48.19533744
66	47.78644004
67	47.33989657
68	46.93409004
69	46.34182678
70	45.90721544
71	45.39948394
72	44.88246667
73	44.51546269
74	44.22776658
75	43.78368744
76	43.27548825
77	42.77907159
78	42.11972174
79	41.5233989
