iter	Passed	Remaining
0	51	4054
1	54	2120
2	57	1476
3	60	1153
4	65	978
5	69	858
6	72	756
7	76	691
8	79	627
9	82	576
10	84	528
11	87	494
12	89	462
13	92	435
14	95	412
15	98	393
16	101	375
17	104	358
18	107	344
19	109	329
20	112	316
21	115	303
22	117	291
23	120	280
24	122	269
25	125	259
26	127	249
27	129	240
28	130	229
29	132	221
30	135	213
31	137	205
32	139	198
33	141	191
34	144	185
35	146	178
36	148	172
37	151	167
38	153	161
39	155	155
40	158	150
41	161	146
42	163	141
43	166	136
44	168	131
45	171	126
46	173	121
47	175	117
48	178	112
49	180	108
50	183	104
51	185	100
52	188	95
53	190	91
54	193	87
55	195	83
56	198	80
57	202	76
58	205	73
59	207	69
60	211	65
61	214	62
62	217	58
63	221	55
64	224	51
65	228	48
66	231	44
67	234	41
68	237	37
69	240	34
70	243	30
71	246	27
72	248	23
73	251	20
74	254	16
75	256	13
76	259	10
77	262	6
78	265	3
79	267	0
