iter	Passed	Remaining
0	51	25479
1	53	13402
2	56	9404
3	59	7421
4	63	6247
5	66	5471
6	70	4930
7	74	4568
8	77	4231
9	80	3956
10	83	3732
11	87	3544
12	90	3405
13	94	3268
14	97	3146
15	100	3047
16	104	2964
17	107	2888
18	111	2823
19	115	2761
20	118	2702
21	121	2648
22	125	2599
23	128	2545
24	131	2504
25	134	2460
26	138	2421
27	141	2388
28	144	2350
29	147	2317
30	151	2286
31	154	2258
32	157	2230
33	160	2205
34	165	2194
35	169	2179
36	172	2159
37	176	2141
38	179	2122
39	182	2102
40	186	2088
41	189	2065
42	192	2045
43	195	2022
44	197	1999
45	201	1984
46	203	1961
47	205	1937
48	208	1916
49	210	1891
50	212	1866
51	214	1843
52	215	1821
53	217	1799
54	219	1777
55	221	1755
56	223	1735
57	224	1713
58	226	1692
59	227	1671
60	229	1652
61	231	1632
62	232	1614
63	234	1595
64	235	1577
65	237	1560
66	238	1542
67	240	1526
68	241	1509
69	243	1493
70	244	1477
71	245	1462
72	247	1447
73	248	1432
74	250	1418
75	251	1404
76	253	1390
77	254	1377
78	256	1364
79	257	1352
80	259	1340
81	260	1328
82	262	1317
83	263	1305
84	265	1294
85	266	1283
86	268	1272
87	269	1261
88	270	1251
89	272	1241
90	273	1230
91	275	1220
92	276	1211
93	278	1201
94	279	1191
95	280	1182
96	282	1173
97	283	1164
98	285	1155
99	286	1146
100	288	1138
101	289	1130
102	291	1121
103	292	1113
104	293	1105
105	295	1098
106	296	1090
107	298	1082
108	299	1075
109	301	1067
110	302	1060
111	304	1053
112	305	1046
113	307	1039
114	308	1033
115	309	1026
116	311	1019
117	312	1012
118	314	1006
119	316	1000
120	317	994
121	319	988
122	320	982
123	322	976
124	323	970
125	324	964
126	326	958
127	327	952
128	329	947
129	330	942
130	332	936
131	333	930
132	335	925
133	336	920
134	338	915
135	339	909
136	341	904
137	342	899
138	344	894
139	345	888
140	347	884
141	348	879
142	350	874
143	351	869
144	353	864
145	354	859
146	355	854
147	357	849
148	358	845
149	360	840
150	361	836
151	363	831
152	364	827
153	366	822
154	367	818
155	369	814
156	370	810
157	372	805
158	374	802
159	375	798
160	377	794
161	379	790
162	380	786
163	381	782
164	383	778
165	385	774
166	386	770
167	388	766
168	389	763
169	391	759
170	392	755
171	394	751
172	395	748
173	397	744
174	398	740
175	400	736
176	401	733
177	403	729
178	404	725
179	406	722
180	407	718
181	409	715
182	410	711
183	412	708
184	413	704
185	415	701
186	416	697
187	418	694
188	420	691
189	421	687
190	422	684
191	424	680
192	425	677
193	427	674
194	429	671
195	430	668
196	432	665
197	434	662
198	435	659
199	437	656
200	439	653
201	440	649
202	442	646
203	443	643
204	444	640
205	446	637
206	447	633
207	449	630
208	450	627
209	452	624
210	453	621
211	455	618
212	456	615
213	458	612
214	459	609
215	461	606
216	462	603
217	464	600
218	465	597
219	467	594
220	468	591
221	470	589
222	472	586
223	473	583
224	475	580
225	476	577
226	478	575
227	479	572
228	481	569
229	482	566
230	484	563
231	485	561
232	487	558
233	488	555
234	490	552
235	491	550
236	493	547
237	494	544
238	496	542
239	497	539
240	499	536
241	500	533
242	502	531
243	504	529
244	505	526
245	507	523
246	508	521
247	510	518
248	511	516
249	513	513
250	515	511
251	516	508
252	518	505
253	519	503
254	521	500
255	523	498
256	524	496
257	526	493
258	527	491
259	529	488
260	530	486
261	532	483
262	534	481
263	535	478
264	537	476
265	538	473
266	540	471
267	541	469
268	543	466
269	545	464
270	546	461
271	548	459
272	550	457
273	551	455
274	553	452
275	555	450
276	556	448
277	558	445
278	559	443
279	561	440
280	562	438
281	564	436
282	565	433
283	567	431
284	568	429
285	570	426
286	572	424
287	573	422
288	575	420
289	577	417
290	578	415
291	580	413
292	581	411
293	583	408
294	585	406
295	586	404
296	588	402
297	589	399
298	591	397
299	593	395
300	594	393
301	596	390
302	597	388
303	599	386
304	601	384
305	602	382
306	604	379
307	605	377
308	607	375
309	609	373
310	610	371
311	612	368
312	614	366
313	615	364
314	617	362
315	620	361
316	622	359
317	624	357
318	626	355
319	628	353
320	629	351
321	631	349
322	633	347
323	635	345
324	636	342
325	638	340
326	641	339
327	643	337
328	645	335
329	647	333
330	649	331
331	650	329
332	652	327
333	654	325
334	656	323
335	657	321
336	659	318
337	661	316
338	662	314
339	664	312
340	665	310
341	667	308
342	668	306
343	670	303
344	671	301
345	673	299
346	675	297
347	676	295
348	678	293
349	680	291
350	681	289
351	683	287
352	685	285
353	686	283
354	688	281
355	689	279
356	691	276
357	692	274
358	694	272
359	695	270
360	697	268
361	699	266
362	701	264
363	702	262
364	704	260
365	705	258
366	707	256
367	709	254
368	711	252
369	712	250
370	714	248
371	715	246
372	717	244
373	719	242
374	721	240
375	722	238
376	724	236
377	726	234
378	728	232
379	729	230
380	731	228
381	733	226
382	735	224
383	736	222
384	738	220
385	739	218
386	741	216
387	743	214
388	744	212
389	746	210
390	748	208
391	749	206
392	751	204
393	753	202
394	754	200
395	756	198
396	758	196
397	759	194
398	761	192
399	762	190
400	764	188
401	766	186
402	768	184
403	769	182
404	771	180
405	772	178
406	774	176
407	775	174
408	777	172
409	778	170
410	780	168
411	781	167
412	783	165
413	784	163
414	786	161
415	787	159
416	789	157
417	791	155
418	792	153
419	794	151
420	795	149
421	797	147
422	798	145
423	800	143
424	801	141
425	803	139
426	804	137
427	806	135
428	807	133
429	809	131
430	811	129
431	812	127
432	813	125
433	815	124
434	817	122
435	818	120
436	820	118
437	821	116
438	823	114
439	824	112
440	826	110
